scenario_id,seed_airport_icao,aircraft_lat,aircraft_lon,aircraft_type,aircraft_category,required_runway_m,emergency_type,max_range_km,fuel_state,fuel_multiplier,aircraft_adjusted_range_km,usable_range_km,extended_range_km,binding_side,airport_icao,runway_length_m,runway_width_m,surface_type,approach_type,has_ils,has_medical,medical_level,has_rescue,rescue_category,has_firefighting,has_maintenance,fuel_available,open_24h,is_international,tower_available,weather_reporting,closure_status,restricted_status,unsafe_status,civil_military,slot_restricted,distance_km,runway_margin_m,distance_zone,target_rank,is_top_choice
S00001,OERK,24.603892,46.685704,B737 MAX 8,narrow_body,2348,technical,1076,low,0.9,900.0,900.0,1438.858593,aircraft_fuel,OTHH,4850,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,501.822375,2502,preferred,1.0,1
S00001,OERK,24.603892,46.685704,B737 MAX 8,narrow_body,2348,technical,1076,low,0.9,900.0,900.0,1438.858593,aircraft_fuel,OKKK,4580,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,529.312384,2232,preferred,2.0,0
S00001,OERK,24.603892,46.685704,B737 MAX 8,narrow_body,2348,technical,1076,low,0.9,900.0,900.0,1438.858593,aircraft_fuel,OMDB,4447,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,878.579794,2099,preferred,3.0,0
S00001,OERK,24.603892,46.685704,B737 MAX 8,narrow_body,2348,technical,1076,low,0.9,900.0,900.0,1438.858593,aircraft_fuel,OERK,4205,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,39.352747,1857,preferred,4.0,0
S00001,OERK,24.603892,46.685704,B737 MAX 8,narrow_body,2348,technical,1076,low,0.9,900.0,900.0,1438.858593,aircraft_fuel,OMAA,4106,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,805.722335,1758,preferred,5.0,0
S00001,OERK,24.603892,46.685704,B737 MAX 8,narrow_body,2348,technical,1076,low,0.9,900.0,900.0,1438.858593,aircraft_fuel,OBBI,3956,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,437.7933,1608,preferred,6.0,0
S00001,OERK,24.603892,46.685704,B737 MAX 8,narrow_body,2348,technical,1076,low,0.9,900.0,900.0,1438.858593,aircraft_fuel,OOMS,4080,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,1182.284927,1732,extended,7.0,0
S00001,OERK,24.603892,46.685704,B737 MAX 8,narrow_body,2348,technical,1076,low,0.9,900.0,900.0,1438.858593,aircraft_fuel,OJAI,3660,61,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,1312.222517,1312,extended,8.0,0
S00001,OERK,24.603892,46.685704,B737 MAX 8,narrow_body,2348,technical,1076,low,0.9,900.0,900.0,1438.858593,aircraft_fuel,HELX,3000,45,asphalt,RNAV,0,0,none,1,basic,1,0,1,0,0,1,1,open,none,safe,joint,0,1411.519387,652,extended,9.0,0
S00002,LCLK,34.650759,34.074,A320,narrow_body,2201,mechanical,602,low,0.9,855.0,602.0,922.283928,emergency,HECA,4000,60,asphalt,ILS,1,1,basic,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,563.819667,1799,preferred,1.0,1
