scenario_id,seed_airport_icao,aircraft_lat,aircraft_lon,aircraft_type,aircraft_category,required_runway_m,emergency_type,max_range_km,airport_icao,airport_iata,airport_name,airport_city,airport_country,runway_length_m,runway_width_m,surface_type,approach_type,has_ils,has_medical,medical_level,has_rescue,rescue_category,has_firefighting,has_maintenance,fuel_available,open_24h,is_international,tower_available,weather_reporting,closure_status,restricted_status,unsafe_status,civil_military,slot_restricted,distance_km,runway_margin_m,feasible,feasibility_reason,baseline_score,target_rank,is_top_choice,split
S00001,OERK,24.256935,47.108951,A319,narrow_body,2183,technical,858,OBBI,BAH,Bahrain International Airport,Manama,Bahrain,3956,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,419.355556,1773,1,Accepted,0.9106273630777189,6,0,train
S00001,OERK,24.256935,47.108951,A319,narrow_body,2183,technical,858,OTHH,DOH,Hamad International Airport,Doha,Qatar,4850,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,468.080048,2667,1,Accepted,1.2680790993830588,1,1,train
S00001,OERK,24.256935,47.108951,A319,narrow_body,2183,technical,858,OMDB,DXB,Dubai International Airport,Dubai,United Arab Emirates,4447,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,841.41598,2264,1,Accepted,1.1063122372016263,3,0,train
S00001,OERK,24.256935,47.108951,A319,narrow_body,2183,technical,858,OERK,RUH,King Khalid International Airport,Riyadh,Saudi Arabia,4205,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,88.257216,2022,1,Accepted,1.015522145591638,4,0,train
S00001,OERK,24.256935,47.108951,A319,narrow_body,2183,technical,858,OKKK,KWI,Kuwait International Airport,Kuwait City,Kuwait,4580,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,558.935245,2397,1,Accepted,1.1598715524797052,2,0,train
S00001,OERK,24.256935,47.108951,A319,narrow_body,2183,technical,858,OMAA,AUH,Zayed International Airport,Abu Dhabi,United Arab Emirates,4106,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,764.043039,1923,1,Accepted,0.9699842696019239,5,0,train
S00001,OERK,24.256935,47.108951,A319,narrow_body,2183,technical,858,EGLL,LHR,London Heathrow Airport,London,United Kingdom,3901,50,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,5026.63804,1718,0,Rejected: unreachable (> 858.0 km),,,0,train
S00001,OERK,24.256935,47.108951,A319,narrow_body,2183,technical,858,EGKK,LGW,London Gatwick Airport,London,United Kingdom,3317,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,4997.207712,1134,0,Rejected: unreachable (> 858.0 km),,,0,train
S00001,OERK,24.256935,47.108951,A319,narrow_body,2183,technical,858,LFPG,CDG,Charles de Gaulle International Airport,"Paris (Roissy-en-France, Val-d'Oise)",France,4215,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,4735.536557,2032,0,Rejected: unreachable (> 858.0 km),,,0,train
S00001,OERK,24.256935,47.108951,A319,narrow_body,2183,technical,858,LEMD,MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,4350,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,5012.833101,2167,0,Rejected: unreachable (> 858.0 km),,,0,train
