feature,shap_value,abs_shap,raw_value
distance_rank,6.622470713457333,6.622470713457333,1
range_coverage_ratio,2.2364371654283386,2.2364371654283386,24.9851
distance_km,1.3787759031076845,1.3787759031076845,34.220388
runway_rank,0.48811341219193966,0.48811341219193966,2
runway_margin_m,0.4200265524942628,0.4200265524942628,1663
runway_length_m,0.38998552312073265,0.38998552312073265,4000
aircraft_lon,0.3131703762676061,0.3131703762676061,31.713028
has_maintenance,0.21960232987673994,0.21960232987673994,1
aircraft_lat,0.12493562776545919,0.12493562776545919,30.252731
slot_restricted,0.1164701983030661,0.1164701983030661,0
emergency_type,-0.08446193100919415,0.08446193100919415,security
extended_range_km,0.059252939040955716,0.059252939040955716,1376.184745
distance_zone,0.051347519128023864,0.051347519128023864,preferred
approach_type,0.05099923470846428,0.05099923470846428,ILS
medical_level,0.045324223865606125,0.045324223865606125,basic
open_24h,0.03288151898987891,0.03288151898987891,1
runway_width_m,0.03115452576021338,0.03115452576021338,60
max_range_km,0.024542879596885,0.024542879596885,1171
aircraft_category,0.023003997393493694,0.023003997393493694,narrow_body
surface_type,0.021771815891997885,0.021771815891997885,asphalt
has_medical,0.02169564668587226,0.02169564668587226,1
usable_range_km,0.020848359467172853,0.020848359467172853,855.0
civil_military,0.015179400138441383,0.015179400138441383,civil
rescue_category,0.011890407008520917,0.011890407008520917,major
fuel_state,0.008841515480055333,0.008841515480055333,low
aircraft_type,0.008407111725178489,0.008407111725178489,A320
aircraft_adjusted_range_km,-0.0075324008475782175,0.0075324008475782175,855.0
unsafe_status,-0.006203771473104731,0.006203771473104731,safe
fuel_multiplier,0.0030219549768883275,0.0030219549768883275,0.9
has_ils,0.001956754152012222,0.001956754152012222,1
required_runway_m,0.00182973370387276,0.00182973370387276,2337
weather_reporting,-0.0013475921926915612,0.0013475921926915612,1
is_international,0.0005067518592428741,0.0005067518592428741,1
binding_side,0.0,0.0,aircraft_fuel
closure_status,0.0,0.0,open
fuel_available,0.0,0.0,1
has_rescue,0.0,0.0,1
has_firefighting,0.0,0.0,1
restricted_status,0.0,0.0,none
tower_available,0.0,0.0,1
