icao,iata,name,city,country,lat,lon,elevation_ft,runway_length_m,runway_width_m,surface_type,approach_type,has_ils,has_medical,medical_level,has_rescue,rescue_category,has_firefighting,has_maintenance,fuel_available,open_24h,is_international,tower_available,weather_reporting,closure_status,restricted_status,unsafe_status,civil_military,slot_restricted
OBBI,BAH,Bahrain International Airport,Manama,Bahrain,26.267295,50.63764,6,3956,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0
OTHH,DOH,Hamad International Airport,Doha,Qatar,25.273056,51.608056,13,4850,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0
OMDB,DXB,Dubai International Airport,Dubai,United Arab Emirates,25.24979,55.370992,62,4447,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1
OERK,RUH,King Khalid International Airport,Riyadh,Saudi Arabia,24.9576,46.698799,2049,4205,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0
OKKK,KWI,Kuwait International Airport,Kuwait City,Kuwait,29.224487,47.969813,206,4580,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0
OMAA,AUH,Zayed International Airport,Abu Dhabi,United Arab Emirates,24.440966,54.649237,88,4106,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0
EGLL,LHR,London Heathrow Airport,London,United Kingdom,51.470748,-0.459909,83,3901,50,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1
EGKK,LGW,London Gatwick Airport,London,United Kingdom,51.148744,-0.185739,202,3317,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1
LFPG,CDG,Charles de Gaulle International Airport,"Paris (Roissy-en-France, Val-d'Oise)",France,49.00896,2.554117,392,4215,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1
LEMD,MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,40.493407,-3.572249,1998,4350,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1
EDDF,FRA,Frankfurt Main Airport,Frankfurt am Main,Germany,50.026706,8.55835,364,4000,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,0,1,1,1,open,none,safe,civil,1
EHAM,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,52.308601,4.76389,-11,3800,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1
LIRF,FCO,Rome–Fiumicino Leonardo da Vinci International Airport,Rome,Italy,41.804532,12.251998,13,3902,60,asphalt,ILS,1,1,basic,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1
KJFK,JFK,John F. Kennedy International Airport,New York,United States,40.639447,-73.779317,13,4423,61,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1
KLAX,LAX,Los Angeles International Airport,Los Angeles,United States,33.942501,-118.407997,125,3939,46,concrete,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0
KORD,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,680,3962,46,concrete,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0
KATL,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,1026,3776,46,concrete,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0
CYYZ,YYZ,Toronto Pearson International Airport,Toronto,Canada,43.675935,-79.629421,569,3389,61,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1
